created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-25T13:52:42Z,"InFocus: To step down as Twitter's CEO, what did Elon Musk do? https://t.co/n3Zmgoyffc",4,9,zhang_heqing
2022-12-25T13:52:28Z,"How 'One Country, Two Systems' defined Hong Kong's way of life https://t.co/IAqxus9etH",3,12,zhang_heqing
2022-12-25T13:51:58Z,Wang Yi: Taiwan question at the very core of China's core interests https://t.co/KCzmaU2tEN,2,8,zhang_heqing
2022-12-25T13:51:46Z,Wang Yi on China's effort to build a stable and prosperous Asia https://t.co/RsFOJdOSwJ,4,7,zhang_heqing
2022-12-25T13:51:37Z,Wang Yi: China created new momentum in opening up and cooperation https://t.co/gi6tqWPsZO,3,9,zhang_heqing
2022-12-25T13:50:56Z,Wang Yi: China demonstrates responsibility via major-country diplomacy https://t.co/RcHiqRLZIp,2,8,zhang_heqing
2022-12-25T13:50:27Z,"China home to 110 cities with gigabit 5G, optical fiber coverage https://t.co/T9Qt4XJhBh",2,7,zhang_heqing
2022-12-25T13:50:08Z,PLA conducts joint exercises around Taiwan Island https://t.co/ex0ZKT8jGB,4,9,zhang_heqing
2022-12-25T13:49:57Z,Xi Jinping encourages more 'people-centered' cultural and art works https://t.co/2NfIWb19Z4,4,13,zhang_heqing
2022-12-25T13:49:46Z,"Deep freeze cuts U.S. oil, gas, power output https://t.co/5BpPrjw1yn",6,9,zhang_heqing
2022-12-25T13:49:33Z,Xi urges enhancing agriculture sector with Chinese characteristics  https://t.co/Y38oQMWxWT,3,13,zhang_heqing
2022-12-25T13:48:42Z,"Wang Yi hails China's diplomatic work, vows to write new chapter https://t.co/nmD7UPxOq3",3,7,zhang_heqing
2022-12-25T08:34:29Z,@CGMeifangZhang Merry Christmas!,2,32,zhang_heqing
2022-12-25T08:32:54Z,@ZhaLiyou @Ynjames6396 @xuejianosaka @dupingCHN @sun_weide @Cao_Li_CHN @ChenPingMFA 谢谢查总。节日快乐！天天开心😁,0,5,zhang_heqing
2022-12-25T04:46:30Z,"China's defense ministry protests China-related content in U.S. defense act
 https://t.co/FjGYlblhAJ https://t.co/lKNMCy2cfS",11,46,zhang_heqing
2022-12-25T04:45:33Z,"Xi steadfast on opening-up, sharing China's development opportunities
 https://t.co/ReGKeb1KbC https://t.co/1ee08SydPs",2,18,zhang_heqing
2022-12-25T04:45:20Z,"Xi stresses building up China's strength in agriculture at key rural work conference
 https://t.co/sTNinb63XT https://t.co/pyuy3Uz9ai",3,28,zhang_heqing
