created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-23T08:04:41Z,SC &amp; FM Wang Yi spoke with @SecBlinken. Wang said the US shouldn't pursue dialogue and cooperation only in words while containing and backstabbing China in deeds.,94,568,SpokespersonCHN
2022-12-23T07:38:57Z,"SC &amp; FM Wang Yi met with John L. Thornton, co-chair of the Board of Trustees of the Asia Society. Wang welcomes American businesses &amp; academics to come to China for more face-to-face exchanges to increase mutual understanding. https://t.co/KNWZIwjBg8",62,340,SpokespersonCHN
2022-12-22T08:59:10Z,https://t.co/qF6quV1RLN,53,521,SpokespersonCHN
2022-12-22T08:58:58Z,https://t.co/1RRWlTGhao,56,573,SpokespersonCHN
2022-12-22T08:58:57Z,https://t.co/XLyUiUfMVs,21,193,SpokespersonCHN
2022-12-22T08:58:56Z,"Dumplings for Winter Solstice, a tradition in Northern China🥟. https://t.co/JwzXaXcQQi",232,2507,SpokespersonCHN
2022-12-22T02:40:11Z,"Winter Solstice today, the official first day of winter in Chinese calender. Daytime will get longer from this day forward. Spring is awaiting not far away. https://t.co/eoEhxXOmSG",371,2710,SpokespersonCHN
2022-12-21T14:57:58Z,"China-Australia Foreign and Strategic Dialogue Joint Outcomes Statement
https://t.co/nGOX2P3X5s https://t.co/YmX4KdjRUh",48,282,SpokespersonCHN
2022-12-21T13:03:42Z,SC &amp; FM Wang Yi and Australian FM Penny Wong  attended the release ceremony of the commemorative envelope for the 50th anniversary of the establishment of diplomatic relations between China and Australia. https://t.co/ZANLIa5WYE,71,347,SpokespersonCHN
2022-12-21T13:02:33Z,"Both sides need to take the 50th anniversary of diplomatic ties as a good opportunity to renew the commitment to the relationship, set it on the right course, and set out on a new journey to further improve the relationship and work for its sustained progress.",33,125,SpokespersonCHN
2022-12-21T13:02:33Z,Wang Yi noted that President Xi &amp; PM Albanese’s constructive meeting in Bali last month pointed the way forward and provided strategic guidance for the improvement of bilateral relations.The two sides need to deliver on the important common understandings between the two leaders.,38,139,SpokespersonCHN
2022-12-21T13:02:32Z,SC &amp; FM Wang Yi held talks with visiting Australian FM Penny Wong on the day marking the 50th anniversary of 🇨🇳🇦🇺diplomatic relations. https://t.co/yAVZDUZvmO,98,638,SpokespersonCHN
2022-12-21T10:42:33Z,"The Australian side noted, the two countries' establishment of diplomatic relations 50 years ago was an important and correct step that brought growth and opportunities to both countries. Australia looks forward to further development of bilateral relations.",47,282,SpokespersonCHN
2022-12-21T10:42:27Z,"China is ready to work with Australia to uphold the principle of mutual respect, mutual benefit and win-win, and advance the sustainable development of China-Australia comprehensive strategic partnership.",44,152,SpokespersonCHN
2022-12-21T10:42:26Z,"President Xi exchanged congratulations with Australian Governor-General Hurley and PM Albanese on 50th anniversary of diplomatic ties. Sound &amp; stable bilateral relations meet the fundamental interests of the 2 peoples and promote regional and global peace, stability &amp; prosperity.",57,330,SpokespersonCHN
2022-12-21T08:04:16Z,"President Xi spoke with President Ouattara of Côte d’Ivoire on the phone.
🇨🇳🇨🇮will continue to support each other on issues concerning their core interests and deepen all-round cooperation. China will support Côte d’Ivoire in expanding and boosting its cacao industry.",51,271,SpokespersonCHN
2022-12-21T07:56:37Z,"Both need to develop the right perception of one another, and committe to be each other's partners.",32,125,SpokespersonCHN
2022-12-21T07:56:35Z,"China-Germany ties is buttressed by deep public support, extensive common interests and rich, successful experience. As long as both sides are committed to mutual respect and win-win cooperation, China-Germany relations will make sound, steady and sustained progress.",55,321,SpokespersonCHN
2022-12-21T07:56:27Z,"With the concerted efforts of generations of Chinese and German leaders, China-Germany relations have generally kept to the right direction of moving forward and making good progress.",25,114,SpokespersonCHN
2022-12-21T07:56:27Z,President Xi spoke with German President Steinmeier on the phone. President Xi noted that this year is an important year for China-Germany relations as it marks the 50th anniversary of 🇨🇳🇩🇪 diplomatic ties.,46,273,SpokespersonCHN
2022-12-20T13:41:36Z,"We stand ready to work with the international community to defeat the virus, better protect lives and health of the people, and revitalize the world economy.",113,821,SpokespersonCHN
2022-12-20T13:41:32Z,"We believe that with the concerted efforts of the Chinese people, our economic and social undertakings will enter into a new stage of balanced and orderly growth.",36,201,SpokespersonCHN
2022-12-20T13:41:31Z,"In light of the changing Covid situation, China is refining its policy to better coordinate Covid response with economic and social development.",62,440,SpokespersonCHN
2022-12-20T13:41:26Z,"It has also gained precious time to know more about the virus scientifically, conduct R&amp;D of vaccines and therapeutics, and increase vaccination. All in all, the policy has helped us achieve the best result with the minimum cost.",41,352,SpokespersonCHN
2022-12-20T13:41:25Z,Facts have proved that China's Covid response policy in the past three years has protected lives and health of our people to the maximum extent possible.,181,1529,SpokespersonCHN
2022-12-20T13:01:34Z,"As #COP15 Chair, China galvanized efforts to bridge differences and secure the outcomes. Now's the time to deliver. We'll support developing countries and work closer with developed countries on biodiversity in a common endeavor to build a community of all life on Earth. https://t.co/ocPJJYutg4",31,146,SpokespersonCHN
2022-12-20T13:01:32Z,"Congratulations on the landmark Kunming-Montreal Global Biodiversity Framework! We welcome ""30 by 30"" - protecting at least 30% of Earth's land and water by 2030, and the commitment of ensuring developing countries' access to finance, technology and capacity-building. #COP15 https://t.co/Id3FxuvYHM",58,274,SpokespersonCHN
