docname,Segment,WPS,WC,Sixltr,Dic,culture.culture-high,culture.culture-popular,culture.sport,culture,economy.+state+,economy.=state=,economy.-state-,environment.con environment,environment.pro environment,groups.ethnic,groups.women,institutions.conservative,institutions.neutral,institutions.radical,law_and_order.law-conservative,law_and_order.law-liberal,rural,urban,values.conservative,values.liberal,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.15,751,18,36,25,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,8.33,2.78,5.56,0,0,0,0,0,0,0,0,8.33
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.16,752,50.375,403,32.01,6.95,0,0,0,0,0.99,0.5,0.25,0,0,0,0,1.74,1.74,1.49,0.25,0,0,0,0,0,12.41,1.99,8.93,0,0,0,0,0.5,0.5,0,0.25,10.92
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.17,753,31.5,63,22.22,4.76,0,0,0,0,0,1.59,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,14.29,3.17,11.11,0,0,0,0,0,0,0,0,14.29
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.18,754,43,172,32.56,11.63,0,0,0,0,0.58,1.16,0,0,0,0,0,3.49,1.74,0.58,0,0,0,0,4.07,0,13.37,2.33,5.81,0,0,0,0,0,5.23,5.23,0,8.14
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.19,755,38.5,154,25.97,13.64,0,0,0,4.55,1.3,0.65,0.65,0,0,0,0,3.25,1.3,0.65,0,0,0,0,0.65,0.65,12.99,2.6,7.14,0,0,0,0,0.65,2.6,2.6,0,9.74
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.20,756,29,87,17.24,3.45,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,19.54,3.45,6.9,0,0,0,0,1.15,8.05,1.15,0,10.34
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.21,757,40.666666666666664,122,23.77,7.38,0,0,0,0,0,0,0.82,0,0,0,0,5.74,0,0.82,0,0,0,0,0,0,8.2,2.46,5.74,0,0,0,0,0,0,0,0,8.2
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.22,758,38.666666666666664,232,22.41,6.9,0,0,0,0,0,0,0,0,0,0,0,4.74,1.29,0.43,0,0,0,0,0.43,0,11.21,2.59,8.19,0,0,0,0,0,0.43,0.43,0,10.78
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.23,759,25.333333333333332,152,21.71,3.95,0,0,0,0.66,0,0,0,0,0,0,0,1.97,0,0.66,0,0,0,0,0,0.66,8.55,3.95,3.95,0,0.66,0,0,0,0,0,0,8.55
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.24,760,34.833333333333336,209,30.62,7.18,0,0,0,0.96,0,0,0,0,0.48,0,0,1.44,3.35,0.96,0,0,0,0,0,0,11.48,2.87,8.61,0,0,0,0,0,0,0,0,11.48
