"Date Stamped","Registrant Name","Registration Number","Document Type","Short Form Name","Foreign Principal Name","Foreign Principal Country","Url"
"02/01/2019","Wilson Global Communications, LLC","6584","Amendment"," "," "," ","https://efile.fara.gov/docs/6584-Amendment-20190201-2.pdf"
"02/01/2019","Wilson Global Communications, LLC","6584","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Exhibit-AB-20190201-9.pdf"
"01/29/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190129-14.pdf"
"01/10/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190110-11.pdf"
"01/02/2019","6584","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190102-40.pdf"
"12/13/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181213-10.pdf"
"12/03/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181203-9.pdf"
"11/29/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181129-7.pdf"
"11/28/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181128-8.pdf"
"11/16/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181116-6.pdf"
"11/14/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181114-5.pdf"
"11/05/2018","Wilson Global Communications, LLC","6584","Amendment"," "," "," ","https://efile.fara.gov/docs/6584-Amendment-20181105-1.pdf"
"11/05/2018","Wilson Global Communications, LLC","6584","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Exhibit-AB-20181105-8.pdf"
"10/30/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20181030-4.pdf"
"09/17/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20180917-3.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Short-Form","Crabbe, Carol C."," "," ","https://efile.fara.gov/docs/6584-Short-Form-20180831-2.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Registration Statement"," "," "," ","https://efile.fara.gov/docs/6584-Registration-Statement-20180831-1.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Exhibit-AB-20180831-7.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Exhibit C"," "," "," ","https://efile.fara.gov/docs/6584-Exhibit-C-20180831-1.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20180831-1.pdf"
"08/31/2018","Wilson Global Communications, LLC","6584","Short-Form","Wilson, Julia A."," "," ","https://efile.fara.gov/docs/6584-Short-Form-20180831-4.pdf"

